ENSEMBL	ENTREZID	SYMBOL	GENENAME
ENSG00000090339	3383	ICAM1	intercellular adhesion molecule 1
ENSG00000090372	29888	STRN4	striatin 4
ENSG00000090376	11213	IRAK3	interleukin 1 receptor associated kinase 3
ENSG00000090382	4069	LYZ	lysozyme
ENSG00000090432	79594	MUL1	mitochondrial E3 ubiquitin protein ligase 1
ENSG00000090447	7023	TFAP4	transcription factor AP-4
ENSG00000090470	10081	PDCD7	programmed cell death 7
ENSG00000090487	51324	SPG21	SPG21 abhydrolase domain containing, maspardin
ENSG00000090520	51726	DNAJB11	DnaJ heat shock protein family (Hsp40) member B11
ENSG00000090530	55214	P3H2	prolyl 3-hydroxylase 2
ENSG00000090539	8646	CHRD	chordin
ENSG00000090554	2323	FLT3LG	fms related receptor tyrosine kinase 3 ligand
ENSG00000090565	9727	RAB11FIP3	RAB11 family interacting protein 3
ENSG00000090581	84572	GNPTG	N-acetylglucosamine-1-phosphate transferase subunit gamma
ENSG00000090612	10795	ZNF268	zinc finger protein 268
ENSG00000090615	2802	GOLGA3	golgin A3
ENSG00000090621	8761	PABPC4	poly(A) binding protein cytoplasmic 4
ENSG00000090659	30835	CD209	CD209 molecule
ENSG00000090661	79603	CERS4	ceramide synthase 4
ENSG00000090674	57192	MCOLN1	mucolipin TRP cation channel 1
ENSG00000090686	84196	USP48	ubiquitin specific peptidase 48
ENSG00000090776	1947	EFNB1	ephrin B1
ENSG00000090857	55066	PDPR	pyruvate dehydrogenase phosphatase regulatory subunit
ENSG00000090861	16	AARS1	alanyl-tRNA synthetase 1
ENSG00000090863	2734	GLG1	golgi glycoprotein 1
ENSG00000090889	24137	KIF4A	kinesin family member 4A
ENSG00000090905	27327	TNRC6A	trinucleotide repeat containing adaptor 6A
ENSG00000090924	64857	PLEKHG2	pleckstrin homology and RhoGEF domain containing G2
ENSG00000090971	57106	NAT14	N-acetyltransferase 14 (putative)
ENSG00000090975	57605	PITPNM2	phosphatidylinositol transfer protein membrane associated 2
ENSG00000090989	55763	EXOC1	exocyst complex component 1
ENSG00000091009	54439	RBM27	RNA binding motif protein 27
ENSG00000091039	114882	OSBPL8	oxysterol binding protein like 8
ENSG00000091073	113878	DTX2	deltex E3 ubiquitin ligase 2
ENSG00000091106	58484	NLRC4	NLR family CARD domain containing 4
ENSG00000091127	54517	PUS7	pseudouridine synthase 7
ENSG00000091129	4897	NRCAM	neuronal cell adhesion molecule
ENSG00000091136	3912	LAMB1	laminin subunit beta 1
ENSG00000091137	5172	SLC26A4	solute carrier family 26 member 4
ENSG00000091140	1738	DLD	dihydrolipoamide dehydrogenase
ENSG00000091157	23335	WDR7	WD repeat domain 7
ENSG00000091164	9352	TXNL1	thioredoxin like 1
ENSG00000091181	3568	IL5RA	interleukin 5 receptor subunit alpha
ENSG00000091262	368	ABCC6	ATP binding cassette subfamily C member 6
ENSG00000091317	54918	CMTM6	CKLF like MARVEL transmembrane domain containing 6
ENSG00000091409	3655	ITGA6	integrin subunit alpha 6
ENSG00000091428	11069	RAPGEF4	Rap guanine nucleotide exchange factor 4
ENSG00000091436	51776	MAP3K20	mitogen-activated protein kinase kinase kinase 20
ENSG00000091483	2271	FH	fumarate hydratase
ENSG00000091490	23231	SEL1L3	SEL1L family member 3
ENSG00000091513	7018	TF	transferrin
ENSG00000091527	55573	CDV3	CDV3 homolog
ENSG00000091536	51168	MYO15A	myosin XVA
ENSG00000091542	54890	ALKBH5	alkB homolog 5, RNA demethylase
ENSG00000091592	22861	NLRP1	NLR family pyrin domain containing 1
ENSG00000091622	83394	PITPNM3	PITPNM family member 3
ENSG00000091640	9552	SPAG7	sperm associated antigen 7
ENSG00000091651	23594	ORC6	origin recognition complex subunit 6
ENSG00000091656	79776	ZFHX4	zinc finger homeobox 4
ENSG00000091664	57084	SLC17A6	solute carrier family 17 member 6
ENSG00000091732	51530	ZC3HC1	zinc finger C3HC-type containing 1
ENSG00000091831	2099	ESR1	estrogen receptor 1
ENSG00000091844	26575	RGS17	regulator of G protein signaling 17
ENSG00000091879	285	ANGPT2	angiopoietin 2
ENSG00000091947	84336	TMEM101	transmembrane protein 101
ENSG00000091972	4345	CD200	CD200 molecule
ENSG00000091986	151887	CCDC80	coiled-coil domain containing 80
ENSG00000092010	5720	PSME1	proteasome activator subunit 1
ENSG00000092020	55012	PPP2R3C	protein phosphatase 2 regulatory subunit B''gamma
ENSG00000092036	54930	HAUS4	HAUS augmin like complex subunit 4
ENSG00000092068	23428	SLC7A8	solute carrier family 7 member 8
ENSG00000092094	55644	OSGEP	O-sialoglycoprotein endopeptidase
ENSG00000092096	51310	SLC22A17	solute carrier family 22 member 17
ENSG00000092098	55072	RNF31	ring finger protein 31
ENSG00000092108	23256	SCFD1	sec1 family domain containing 1
ENSG00000092140	55632	G2E3	G2/M-phase specific E3 ubiquitin protein ligase
ENSG00000092148	25831	HECTD1	HECT domain E3 ubiquitin protein ligase 1
ENSG00000092199	3183	HNRNPC	heterogeneous nuclear ribonucleoprotein C
ENSG00000092200	57096	RPGRIP1	RPGR interacting protein 1
ENSG00000092201	11198	SUPT16H	SPT16 homolog, facilitates chromatin remodeling subunit
ENSG00000092203	9878	TOX4	TOX high mobility group box family member 4
ENSG00000092208	8487	GEMIN2	gem nuclear organelle associated protein 2
ENSG00000092295	7051	TGM1	transglutaminase 1
ENSG00000092330	26277	TINF2	TERF1 interacting nuclear factor 2
ENSG00000092421	57556	SEMA6A	semaphorin 6A
ENSG00000092439	54822	TRPM7	transient receptor potential cation channel subfamily M member 7
ENSG00000092445	7301	TYRO3	TYRO3 protein tyrosine kinase
ENSG00000092470	79968	WDR76	WD repeat domain 76
ENSG00000092529	825	CAPN3	calpain 3
ENSG00000092531	8773	SNAP23	synaptosome associated protein 23
ENSG00000092621	26227	PHGDH	phosphoglycerate dehydrogenase
ENSG00000092758	1299	COL9A3	collagen type IX alpha 3 chain
ENSG00000092820	7430	EZR	ezrin
ENSG00000092841	4637	MYL6	myosin light chain 6
ENSG00000092847	26523	AGO1	argonaute RISC component 1
ENSG00000092850	27285	TEKT2	tektin 2
ENSG00000092853	63967	CLSPN	claspin
ENSG00000092871	117584	RFFL	ring finger and FYVE like domain containing E3 ubiquitin protein ligase
ENSG00000092929	201294	UNC13D	unc-13 homolog D
ENSG00000092931	79157	MFSD11	major facilitator superfamily domain containing 11
ENSG00000092964	1808	DPYSL2	dihydropyrimidinase like 2
ENSG00000092969	7042	TGFB2	transforming growth factor beta 2
ENSG00000092978	55105	GPATCH2	G-patch domain containing 2
ENSG00000093000	10762	NUP50	nucleoporin 50
ENSG00000093010	1312	COMT	catechol-O-methyltransferase
ENSG00000093072	51816	ADA2	adenosine deaminase 2
ENSG00000093134	55350	VNN3P	vanin 3, pseudogene
ENSG00000093144	55862	ECHDC1	ethylmalonyl-CoA decarboxylase 1
ENSG00000093167	9209	LRRFIP2	LRR binding FLII interacting protein 2
ENSG00000093183	9117	SEC22C	SEC22 homolog C, vesicle trafficking protein
ENSG00000093217	9942	XYLB	xylulokinase
ENSG00000094631	10013	HDAC6	histone deacetylase 6
ENSG00000094661	126370	OR1I1	olfactory receptor family 1 subfamily I member 1
ENSG00000094755	2568	GABRP	gamma-aminobutyric acid type A receptor subunit pi
ENSG00000094804	990	CDC6	cell division cycle 6
ENSG00000094841	139596	UPRT	uracil phosphoribosyltransferase homolog
ENSG00000094880	8697	CDC23	cell division cycle 23
ENSG00000094914	8086	AAAS	aladin WD repeat nucleoporin
ENSG00000094916	23468	CBX5	chromobox 5
ENSG00000094963	2327	FMO2	flavin containing dimethylaniline monoxygenase 2
ENSG00000094975	51430	SUCO	SUN domain containing ossification factor
ENSG00000095002	4436	MSH2	mutS homolog 2
ENSG00000095015	4214	MAP3K1	mitogen-activated protein kinase kinase kinase 1
ENSG00000095059	1725	DHPS	deoxyhypusine synthase
ENSG00000095066	29911	HOOK2	hook microtubule tethering protein 2
ENSG00000095139	372	ARCN1	archain 1
ENSG00000095203	54566	EPB41L4B	erythrocyte membrane protein band 4.1 like 4B
ENSG00000095209	55151	TMEM38B	transmembrane protein 38B
ENSG00000095261	5711	PSMD5	proteasome 26S subunit, non-ATPase 5
ENSG00000095303	5742	PTGS1	prostaglandin-endoperoxide synthase 1
ENSG00000095319	23511	NUP188	nucleoporin 188
ENSG00000095321	1384	CRAT	carnitine O-acetyltransferase
ENSG00000095370	10044	SH2D3C	SH2 domain containing 3C
ENSG00000095380	54187	NANS	N-acetylneuraminate synthase
ENSG00000095383	55357	TBC1D2	TBC1 domain family member 2
ENSG00000095397	25861	WHRN	whirlin
ENSG00000095464	5146	PDE6C	phosphodiesterase 6C
ENSG00000095485	55280	CWF19L1	CWF19 like cell cycle control factor 1
ENSG00000095539	57715	SEMA4G	semaphorin 4G
ENSG00000095564	9044	BTAF1	B-TFIID TATA-box binding protein associated factor 1
ENSG00000095574	64376	IKZF5	IKAROS family zinc finger 5
ENSG00000095585	29760	BLNK	B cell linker
ENSG00000095587	7093	TLL2	tolloid like 2
ENSG00000095596	1592	CYP26A1	cytochrome P450 family 26 subfamily A member 1
ENSG00000095627	56165	TDRD1	tudor domain containing 1
ENSG00000095637	10580	SORBS1	sorbin and SH3 domain containing 1
ENSG00000095739	25805	BAMBI	BMP and activin membrane bound inhibitor
ENSG00000095787	51322	WAC	WW domain containing adaptor with coiled-coil
ENSG00000095794	1390	CREM	cAMP responsive element modulator
ENSG00000095906	10101	NUBP2	NUBP iron-sulfur cluster assembly factor 2, cytosolic
ENSG00000095951	3096	HIVEP1	HIVEP zinc finger 1
ENSG00000095970	54209	TREM2	triggering receptor expressed on myeloid cells 2
ENSG00000096006	10321	CRISP3	cysteine rich secretory protein 3
ENSG00000096060	2289	FKBP5	FKBP prolyl isomerase 5
ENSG00000096063	6732	SRPK1	SRSF protein kinase 1
ENSG00000096070	27154	BRPF3	bromodomain and PHD finger containing 3
ENSG00000096080	55168	MRPS18A	mitochondrial ribosomal protein S18A
ENSG00000096092	28978	TMEM14A	transmembrane protein 14A
ENSG00000096093	114327	EFHC1	EF-hand domain containing 1
ENSG00000096384	3326	HSP90AB1	heat shock protein 90 alpha family class B member 1
ENSG00000096401	988	CDC5L	cell division cycle 5 like
ENSG00000096433	3710	ITPR3	inositol 1,4,5-trisphosphate receptor type 3
ENSG00000096654	7738	ZNF184	zinc finger protein 184
ENSG00000096696	1832	DSP	desmoplakin
ENSG00000096717	23411	SIRT1	sirtuin 1
ENSG00000096746	3189	HNRNPH3	heterogeneous nuclear ribonucleoprotein H3
ENSG00000096872	80173	IFT74	intraflagellar transport 74
ENSG00000096968	3717	JAK2	Janus kinase 2
ENSG00000096996	3594	IL12RB1	interleukin 12 receptor subunit beta 1
ENSG00000097007	25	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase
ENSG00000097021	11332	ACOT7	acyl-CoA thioesterase 7
ENSG00000097033	51100	SH3GLB1	SH3 domain containing GRB2 like, endophilin B1
ENSG00000097046	8317	CDC7	cell division cycle 7
ENSG00000097096	84144	SYDE2	synapse defective Rho GTPase homolog 2
ENSG00000099139	5125	PCSK5	proprotein convertase subtilisin/kexin type 5
ENSG00000099194	6319	SCD	stearoyl-CoA desaturase
ENSG00000099203	11018	TMED1	transmembrane p24 trafficking protein 1
ENSG00000099204	3983	ABLIM1	actin binding LIM protein 1
ENSG00000099219	79956	ERMP1	endoplasmic reticulum metallopeptidase 1
ENSG00000099246	22931	RAB18	RAB18, member RAS oncogene family
ENSG00000099250	8829	NRP1	neuropilin 1
ENSG00000099260	54873	PALMD	palmdelphin
ENSG00000099282	23555	TSPAN15	tetraspanin 15
ENSG00000099284	55506	MACROH2A2	macroH2A.2 histone
ENSG00000099290	387680	WASHC2A	WASH complex subunit 2A
ENSG00000099308	23031	MAST3	microtubule associated serine/threonine kinase 3
ENSG00000099326	7593	MZF1	myeloid zinc finger 1
ENSG00000099330	79629	OCEL1	occludin/ELL domain containing 1
ENSG00000099331	4650	MYO9B	myosin IXB
ENSG00000099337	9424	KCNK6	potassium two pore domain channel subfamily K member 6
ENSG00000099338	57828	CATSPERG	cation channel sperm associated auxiliary subunit gamma
ENSG00000099341	5714	PSMD8	proteasome 26S subunit, non-ATPase 8
ENSG00000099364	54620	FBXL19	F-box and leucine rich repeat protein 19
ENSG00000099365	112755	STX1B	syntaxin 1B
ENSG00000099377	80270	HSD3B7	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7
ENSG00000099381	9739	SETD1A	SET domain containing 1A, histone lysine methyltransferase
ENSG00000099385	9274	BCL7C	BAF chromatin remodeling complex subunit BCL7C
ENSG00000099617	1943	EFNA2	ephrin A2
ENSG00000099622	1153	CIRBP	cold inducible RNA binding protein
ENSG00000099624	513	ATP5F1D	ATP synthase F1 subunit delta
ENSG00000099625	255057	CBARP	CACN subunit beta associated regulatory protein
ENSG00000099715	83259	PCDH11Y	protocadherin 11 Y-linked
ENSG00000099725	5616	PRKY	protein kinase Y-linked (pseudogene)
ENSG00000099769	3483	IGFALS	insulin like growth factor binding protein acid labile subunit
ENSG00000099783	4670	HNRNPM	heterogeneous nuclear ribonucleoprotein M
ENSG00000099785	51257	MARCHF2	membrane associated ring-CH-type finger 2
ENSG00000099795	4713	NDUFB7	NADH:ubiquinone oxidoreductase subunit B7
ENSG00000099797	9524	TECR	trans-2,3-enoyl-CoA reductase
ENSG00000099800	26517	TIMM13	translocase of inner mitochondrial membrane 13
ENSG00000099804	997	CDC34	cell division cycle 34, ubiqiutin conjugating enzyme
ENSG00000099810	4507	MTAP	methylthioadenosine phosphorylase
ENSG00000099812	126353	MISP	mitotic spindle positioning
ENSG00000099814	283638	CEP170B	centrosomal protein 170B
ENSG00000099817	5434	POLR2E	RNA polymerase II, I and III subunit E
ENSG00000099821	5442	POLRMT	RNA polymerase mitochondrial
ENSG00000099834	53841	CDHR5	cadherin related family member 5
ENSG00000099840	113177	IZUMO4	IZUMO family member 4
ENSG00000099849	8045	RASSF7	Ras association domain family member 7
ENSG00000099860	4616	GADD45B	growth arrest and DNA damage inducible beta
ENSG00000099864	5064	PALM	paralemmin
ENSG00000099866	8174	MADCAM1	mucosal vascular addressin cell adhesion molecule 1
ENSG00000099875	2872	MKNK2	MAPK interacting serine/threonine kinase 2
ENSG00000099889	421	ARVCF	ARVCF delta catenin family member
ENSG00000099899	27037	TRMT2A	tRNA methyltransferase 2 homolog A
ENSG00000099901	5902	RANBP1	RAN binding protein 1
ENSG00000099904	29801	ZDHHC8	zinc finger DHHC-type palmitoyltransferase 8
ENSG00000099910	84861	KLHL22	kelch like family member 22
ENSG00000099917	51586	MED15	mediator complex subunit 15
ENSG00000099937	3053	SERPIND1	serpin family D member 1
ENSG00000099940	9342	SNAP29	synaptosome associated protein 29
ENSG00000099942	1399	CRKL	CRK like proto-oncogene, adaptor protein
ENSG00000099949	8216	LZTR1	leucine zipper like transcription regulator 1
ENSG00000099954	27443	CECR2	CECR2 histone acetyl-lysine reader
ENSG00000099956	6598	SMARCB1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1
ENSG00000099957	9127	P2RX6	purinergic receptor P2X 6
ENSG00000099958	91319	DERL3	derlin 3
ENSG00000099960	6545	SLC7A4	solute carrier family 7 member 4
ENSG00000099968	23786	BCL2L13	BCL2 like 13
ENSG00000099974	100037417	DDTL	D-dopachrome tautomerase like
ENSG00000099977	1652	DDT	D-dopachrome tautomerase
ENSG00000099985	5008	OSM	oncostatin M
ENSG00000099991	23523	CABIN1	calcineurin binding protein 1
ENSG00000099992	83874	TBC1D10A	TBC1 domain family member 10A
ENSG00000099994	56241	SUSD2	sushi domain containing 2
ENSG00000099995	10291	SF3A1	splicing factor 3a subunit 1
ENSG00000099998	2687	GGT5	gamma-glutamyltransferase 5
ENSG00000099999	200312	RNF215	ring finger protein 215
ENSG00000100003	23541	SEC14L2	SEC14 like lipid binding 2
ENSG00000100012	266629	SEC14L3	SEC14 like lipid binding 3
ENSG00000100014	23384	SPECC1L	sperm antigen with calponin homology and coiled-coil domains 1 like
ENSG00000100023	23759	PPIL2	peptidylprolyl isomerase like 2
ENSG00000100024	51733	UPB1	beta-ureidopropionase 1
ENSG00000100027	29799	YPEL1	yippee like 1
ENSG00000100028	6634	SNRPD3	small nuclear ribonucleoprotein D3 polypeptide
ENSG00000100029	23481	PES1	pescadillo ribosomal biogenesis factor 1
ENSG00000100030	5594	MAPK1	mitogen-activated protein kinase 1
ENSG00000100031	2678	GGT1	gamma-glutamyltransferase 1
ENSG00000100033	5625	PRODH	proline dehydrogenase 1
ENSG00000100034	9647	PPM1F	protein phosphatase, Mg2+/Mn2+ dependent 1F
ENSG00000100036	339665	SLC35E4	solute carrier family 35 member E4
ENSG00000100038	8940	TOP3B	DNA topoisomerase III beta
ENSG00000100053	1417	CRYBB3	crystallin beta B3
ENSG00000100055	27128	CYTH4	cytohesin 4
ENSG00000100056	8220	ESS2	ess-2 splicing factor homolog
ENSG00000100060	4242	MFNG	MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
ENSG00000100065	29775	CARD10	caspase recruitment domain family member 10
ENSG00000100068	NA	NA	NA
ENSG00000100075	6576	SLC25A1	solute carrier family 25 member 1
ENSG00000100077	157	GRK3	G protein-coupled receptor kinase 3
ENSG00000100079	3957	LGALS2	galectin 2
ENSG00000100083	26088	GGA1	golgi associated, gamma adaptin ear containing, ARF binding protein 1
ENSG00000100084	7290	HIRA	histone cell cycle regulator
ENSG00000100092	23616	SH3BP1	SH3 domain binding protein 1
ENSG00000100097	3956	LGALS1	galectin 1
ENSG00000100099	89781	HPS4	HPS4 biogenesis of lysosomal organelles complex 3 subunit 2
ENSG00000100100	113791	PIK3IP1	phosphoinositide-3-kinase interacting protein 1
ENSG00000100104	402055	SRRD	SRR1 domain containing
ENSG00000100105	23598	PATZ1	POZ/BTB and AT hook containing zinc finger 1
ENSG00000100106	11078	TRIOBP	TRIO and F-actin binding protein
ENSG00000100109	24144	TFIP11	tuftelin interacting protein 11
ENSG00000100116	23464	GCAT	glycine C-acetyltransferase
ENSG00000100121	91227	GGTLC2	gamma-glutamyltransferase light chain 2
ENSG00000100124	129138	ANKRD54	ankyrin repeat domain 54
ENSG00000100129	51386	EIF3L	eukaryotic translation initiation factor 3 subunit L
ENSG00000100138	4809	SNU13	small nuclear ribonucleoprotein 13
ENSG00000100139	85377	MICALL1	MICAL like 1
ENSG00000100142	5435	POLR2F	RNA polymerase II, I and III subunit F
ENSG00000100146	6663	SOX10	SRY-box transcription factor 10
ENSG00000100147	79879	CCDC134	coiled-coil domain containing 134
ENSG00000100150	9681	DEPDC5	DEP domain containing 5, GATOR1 subcomplex subunit
ENSG00000100151	9463	PICK1	protein interacting with PRKCA 1
ENSG00000100154	23331	TTC28	tetratricopeptide repeat domain 28
ENSG00000100156	23539	SLC16A8	solute carrier family 16 member 8
ENSG00000100162	79019	CENPM	centromere protein M
ENSG00000100167	55964	SEPTIN3	septin 3
ENSG00000100170	6523	SLC5A1	solute carrier family 5 member 1
ENSG00000100196	11015	KDELR3	KDEL endoplasmic reticulum protein retention receptor 3
ENSG00000100197	1565	CYP2D6	cytochrome P450 family 2 subfamily D member 6
ENSG00000100201	10521	DDX17	DEAD-box helicase 17
ENSG00000100206	11144	DMC1	DNA meiotic recombinase 1
ENSG00000100207	6942	TCF20	transcription factor 20
ENSG00000100209	150274	HSCB	HscB mitochondrial iron-sulfur cluster cochaperone
ENSG00000100211	25776	CBY1	chibby family member 1, beta catenin antagonist
ENSG00000100216	56993	TOMM22	translocase of outer mitochondrial membrane 22
ENSG00000100218	27156	RSPH14	radial spoke head 14 homolog
ENSG00000100219	7494	XBP1	X-box binding protein 1
ENSG00000100220	51493	RTCB	RNA 2',3'-cyclic phosphate and 5'-OH ligase
ENSG00000100221	9929	JOSD1	Josephin domain containing 1
ENSG00000100225	25793	FBXO7	F-box protein 7
ENSG00000100226	9567	GTPBP1	GTP binding protein 1
ENSG00000100227	84271	POLDIP3	DNA polymerase delta interacting protein 3
ENSG00000100228	9609	RAB36	RAB36, member RAS oncogene family
ENSG00000100234	7078	TIMP3	TIMP metallopeptidase inhibitor 3
ENSG00000100239	9701	PPP6R2	protein phosphatase 6 regulatory subunit 2
ENSG00000100241	6305	SBF1	SET binding factor 1
ENSG00000100242	25777	SUN2	Sad1 and UNC84 domain containing 2
ENSG00000100243	1727	CYB5R3	cytochrome b5 reductase 3
ENSG00000100246	10126	DNAL4	dynein axonemal light chain 4
ENSG00000100253	55586	MIOX	myo-inositol oxygenase
ENSG00000100258	91289	LMF2	lipase maturation factor 2
ENSG00000100263	25807	RHBDD3	rhomboid domain containing 3
ENSG00000100266	11252	PACSIN2	protein kinase C and casein kinase substrate in neurons 2
ENSG00000100271	25809	TTLL1	TTL family tubulin polyglutamylase complex subunit L1
ENSG00000100276	10633	RASL10A	RAS like family 10 member A
ENSG00000100280	162	AP1B1	adaptor related protein complex 1 subunit beta 1
ENSG00000100281	10042	HMGXB4	HMG-box containing 4
ENSG00000100284	10043	TOM1	target of myb1 membrane trafficking protein
ENSG00000100285	4744	NEFH	neurofilament heavy chain
ENSG00000100288	1120	CHKB	choline kinase beta
ENSG00000100290	638	BIK	BCL2 interacting killer
ENSG00000100292	3162	HMOX1	heme oxygenase 1
ENSG00000100294	27349	MCAT	malonyl-CoA-acyl carrier protein transacylase
ENSG00000100296	8563	THOC5	THO complex 5
ENSG00000100297	4174	MCM5	minichromosome maintenance complex component 5
ENSG00000100299	410	ARSA	arylsulfatase A
ENSG00000100300	706	TSPO	translocator protein
ENSG00000100304	23170	TTLL12	tubulin tyrosine ligase like 12
ENSG00000100307	23492	CBX7	chromobox 7
ENSG00000100311	5155	PDGFB	platelet derived growth factor subunit B
ENSG00000100316	6122	RPL3	ribosomal protein L3
ENSG00000100319	55954	ZMAT5	zinc finger matrin-type 5
ENSG00000100320	23543	RBFOX2	RNA binding fox-1 homolog 2
ENSG00000100321	9145	SYNGR1	synaptogyrin 1
ENSG00000100324	10454	TAB1	TGF-beta activated kinase 1 (MAP3K7) binding protein 1
ENSG00000100325	84164	ASCC2	activating signal cointegrator 1 complex subunit 2
ENSG00000100330	8897	MTMR3	myotubularin related protein 3
ENSG00000100335	54471	MIEF1	mitochondrial elongation factor 1
ENSG00000100336	80832	APOL4	apolipoprotein L4
ENSG00000100341	150379	PNPLA5	patatin like phospholipase domain containing 5
ENSG00000100342	8542	APOL1	apolipoprotein L1
ENSG00000100344	80339	PNPLA3	patatin like phospholipase domain containing 3
ENSG00000100345	4627	MYH9	myosin heavy chain 9
ENSG00000100347	25813	SAMM50	SAMM50 sorting and assembly machinery component
ENSG00000100348	25828	TXN2	thioredoxin 2
ENSG00000100350	80020	FOXRED2	FAD dependent oxidoreductase domain containing 2
ENSG00000100351	9402	GRAP2	GRB2 related adaptor protein 2
ENSG00000100353	8664	EIF3D	eukaryotic translation initiation factor 3 subunit D
ENSG00000100354	23112	TNRC6B	trinucleotide repeat containing adaptor 6B
ENSG00000100359	27352	SGSM3	small G protein signaling modulator 3
ENSG00000100360	11020	IFT27	intraflagellar transport 27
ENSG00000100364	23313	KIAA0930	KIAA0930
ENSG00000100365	4689	NCF4	neutrophil cytosolic factor 4
ENSG00000100368	1439	CSF2RB	colony stimulating factor 2 receptor subunit beta
ENSG00000100372	10478	SLC25A17	solute carrier family 25 member 17
ENSG00000100376	55007	FAM118A	family with sequence similarity 118 member A
ENSG00000100379	79734	KCTD17	potassium channel tetramerization domain containing 17
ENSG00000100380	6767	ST13	ST13 Hsp70 interacting protein
ENSG00000100385	3560	IL2RB	interleukin 2 receptor subunit beta
ENSG00000100387	9978	RBX1	ring-box 1
ENSG00000100393	2033	EP300	E1A binding protein p300
ENSG00000100395	83746	L3MBTL2	L3MBTL histone methyl-lysine binding protein 2
ENSG00000100399	150356	CHADL	chondroadherin like
ENSG00000100401	5905	RANGAP1	Ran GTPase activating protein 1
ENSG00000100403	23264	ZC3H7B	zinc finger CCCH-type containing 7B
ENSG00000100410	84844	PHF5A	PHD finger protein 5A
ENSG00000100412	50	ACO2	aconitase 2
ENSG00000100413	171568	POLR3H	RNA polymerase III subunit H
ENSG00000100416	55687	TRMU	tRNA mitochondrial 2-thiouridylase
ENSG00000100417	5372	PMM1	phosphomannomutase 1
ENSG00000100418	27351	DESI1	desumoylating isopeptidase 1
ENSG00000100422	64781	CERK	ceramide kinase
ENSG00000100425	23774	BRD1	bromodomain containing 1
ENSG00000100426	9889	ZBED4	zinc finger BED-type containing 4
ENSG00000100427	23209	MLC1	modulator of VRAC current 1
ENSG00000100429	83933	HDAC10	histone deacetylase 10
ENSG00000100433	54207	KCNK10	potassium two pore domain channel subfamily K member 10
ENSG00000100439	63874	ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B
ENSG00000100441	23351	KHNYN	KH and NYN domain containing
ENSG00000100442	2287	FKBP3	FKBP prolyl isomerase 3
ENSG00000100445	56948	SDR39U1	short chain dehydrogenase/reductase family 39U member 1
ENSG00000100450	2999	GZMH	granzyme H
ENSG00000100453	3002	GZMB	granzyme B
ENSG00000100461	55147	RBM23	RNA binding motif protein 23
ENSG00000100462	10419	PRMT5	protein arginine methyltransferase 5
ENSG00000100473	1690	COCH	cochlin
ENSG00000100478	11154	AP4S1	adaptor related protein complex 4 subunit sigma 1
ENSG00000100479	5427	POLE2	DNA polymerase epsilon 2, accessory subunit
ENSG00000100483	79609	VCPKMT	valosin containing protein lysine methyltransferase
ENSG00000100485	6655	SOS2	SOS Ras/Rho guanine nucleotide exchange factor 2
ENSG00000100490	8814	CDKL1	cyclin dependent kinase like 1
ENSG00000100503	51199	NIN	ninein
ENSG00000100504	5836	PYGL	glycogen phosphorylase L
ENSG00000100505	114088	TRIM9	tripartite motif containing 9
ENSG00000100519	5706	PSMC6	proteasome 26S subunit, ATPase 6
ENSG00000100522	64841	GNPNAT1	glucosamine-phosphate N-acetyltransferase 1
ENSG00000100523	80821	DDHD1	DDHD domain containing 1
ENSG00000100528	10175	CNIH1	cornichon family AMPA receptor auxiliary protein 1
ENSG00000100532	10668	CGRRF1	cell growth regulator with ring finger domain 1
ENSG00000100554	51382	ATP6V1D	ATPase H+ transporting V1 subunit D
ENSG00000100557	55195	CCDC198	coiled-coil domain containing 198
ENSG00000100558	26499	PLEK2	pleckstrin 2
ENSG00000100564	5283	PIGH	phosphatidylinositol glycan anchor biosynthesis class H
ENSG00000100567	5684	PSMA3	proteasome 20S subunit alpha 3
ENSG00000100568	10490	VTI1B	vesicle transport through interaction with t-SNAREs 1B
ENSG00000100575	26520	TIMM9	translocase of inner mitochondrial membrane 9
ENSG00000100577	2954	GSTZ1	glutathione S-transferase zeta 1
ENSG00000100578	9786	KIAA0586	KIAA0586
ENSG00000100580	283578	TMED8	transmembrane p24 trafficking protein family member 8
ENSG00000100583	161394	SAMD15	sterile alpha motif domain containing 15
ENSG00000100591	10598	AHSA1	activator of HSP90 ATPase activity 1
ENSG00000100592	23002	DAAM1	dishevelled associated activator of morphogenesis 1
ENSG00000100596	9517	SPTLC2	serine palmitoyltransferase long chain base subunit 2
ENSG00000100599	79890	RIN3	Ras and Rab interactor 3
ENSG00000100600	5641	LGMN	legumain
ENSG00000100601	8846	ALKBH1	alkB homolog 1, histone H2A dioxygenase
ENSG00000100603	22938	SNW1	SNW domain containing 1
ENSG00000100604	1113	CHGA	chromogranin A
ENSG00000100605	3705	ITPK1	inositol-tetrakisphosphate 1-kinase
ENSG00000100612	51635	DHRS7	dehydrogenase/reductase 7
ENSG00000100614	5494	PPM1A	protein phosphatase, Mg2+/Mn2+ dependent 1A
ENSG00000100625	51804	SIX4	SIX homeobox 4
